SYNTAX	DESCRIPTION	CLASS	CATEGORY	RANK-POLYMORPHIC	KEYWORDS	EXAMPLE	EXAMPLE OUTPUT	EXPERIMENTAL
⍜∩⋯⬚0×	bitwise and	Idiom	Maths	true	bitwise boolean	⍜∩⋯⬚0× ⊸+₂⇡5	[0 1 0 1 4]	false
⍜∩⋯⬚0↥	bitwise or	Idiom	Maths	true	bitwise boolean	⍜∩⋯⬚0↥ ⊸+₂⇡5	[2 3 6 7 6]	false
⍜⋯¬	bitwise not	Idiom	Maths	true	bitwise boolean	⍜⋯¬ ⇡8	[7 6 5 4 3 2 1 0]	false
⍜∩⋯⬚0≠	bitwise xor	Idiom	Maths	true	bitwise boolean	⍜∩⋯⬚0≠ ⊸+₂⇡5	[2 2 6 6 2]	false
¬	boolean not	Primitive	Maths	true	logical complement	¬ 1	0	false
×	boolean and	Primitive	Maths	true	logical conjunction	× 0 1	0	false
↥	boolean or	Primitive	Maths	true	logical disjunction	↥ 0 1	1	false
≠	boolean xor	Primitive	Maths	true	exclusive or disjunction logical	≠ 0 1	1	false
=	boolean xnor	Primitive	Maths	true	logical material biconditional	= 0 1	0	false
≥	boolean implication	Primitive	Maths	true	material conditional implies logical	≥ 0 1	1	false
∨	boolean or	Primitive	Maths	true	greatest common divisor disjunction	∨ 0 1	1	true
∨	gcd	Primitive	Maths	true	greatest common divisor	∨ ⟜+₄⇡5	[4 1 2 1 4]	true
◌⍢⤚◿≠₀	gcd	Idiom	Maths	false	greatest common divisor	◌⍢⤚◿≠₀ 10 4	2	false
÷⊃∨×	lcm	Idiom	Maths	true	least common multiple	÷⊃∨× ⟜+₄⇡5	[0 5 6 21 8]	true
⌵	absolute value	Primitive	Maths	true	abs modulus	⌵ -₂⇡5	[2 1 0 1 2]	false
⁅	round	Primitive	Maths	true	rounding	⁅π	3	false
⁅₂	round to 2 decimal places	Primitive	Maths	true	rounding	⁅₂ π	3.14	false
⍜×⁅ ˜ⁿ10	round to some number of decimal places	Idiom	Maths	true	rounding	⍜×⁅ ˜ⁿ10 4 π	3.1416	false
≍	are arrays identical?	Primitive	Array	irrelevant	match equal equivalent	≍ [3 4] [3 4 5]	0	false
=	check equality	Primitive	Array	true	equal identical equivalent match	= 1_2_3 1_2_4	[1 1 0]	false
path	find path in graph	Primitive	Other	irrelevant	dijkstra A* graph	⊢path(+A₁|=₃)0	[0 1 2 3]	false
